"Global","Level","Address","Size","Field Type","Field Name","Elt Type","Comment"
"enabler","3","0x7a5f98","0x4","int32_t","enabler.input_queue[5].vKey","",""
"enabler","3","0x7a5f9c","0x1","int8_t","enabler.input_queue[5].shift","",""
"enabler","3","0x7a5f9d","0x1","int8_t","enabler.input_queue[5].capslock","",""
"enabler","3","0x7a5fa0","0x4","int32_t","enabler.input_queue[6].vKey","",""
"enabler","3","0x7a5fa4","0x1","int8_t","enabler.input_queue[6].shift","",""
"enabler","3","0x7a5fa5","0x1","int8_t","enabler.input_queue[6].capslock","",""
"enabler","3","0x7a5fa8","0x4","int32_t","enabler.input_queue[7].vKey","",""
"enabler","3","0x7a5fac","0x1","int8_t","enabler.input_queue[7].shift","",""
"enabler","3","0x7a5fad","0x1","int8_t","enabler.input_queue[7].capslock","",""
"enabler","3","0x7a5fb0","0x4","int32_t","enabler.input_queue[8].vKey","",""
"enabler","3","0x7a5fb4","0x1","int8_t","enabler.input_queue[8].shift","",""
"enabler","3","0x7a5fb5","0x1","int8_t","enabler.input_queue[8].capslock","",""
"enabler","3","0x7a5fb8","0x4","int32_t","enabler.input_queue[9].vKey","",""
"enabler","3","0x7a5fbc","0x1","int8_t","enabler.input_queue[9].shift","",""
"enabler","3","0x7a5fbd","0x1","int8_t","enabler.input_queue[9].capslock","",""
"enabler","3","0x7a5fc0","0x4","int32_t","enabler.input_queue[10].vKey","",""
"enabler","3","0x7a5fc4","0x1","int8_t","enabler.input_queue[10].shift","",""
"enabler","3","0x7a5fc5","0x1","int8_t","enabler.input_queue[10].capslock","",""
"enabler","3","0x7a5fc8","0x4","int32_t","enabler.input_queue[11].vKey","",""
"enabler","3","0x7a5fcc","0x1","int8_t","enabler.input_queue[11].shift","",""
"enabler","3","0x7a5fcd","0x1","int8_t","enabler.input_queue[11].capslock","",""
"enabler","3","0x7a5fd0","0x4","int32_t","enabler.input_queue[12].vKey","",""
"enabler","3","0x7a5fd4","0x1","int8_t","enabler.input_queue[12].shift","",""
"enabler","3","0x7a5fd5","0x1","int8_t","enabler.input_queue[12].capslock","",""
"enabler","3","0x7a5fd8","0x4","int32_t","enabler.input_queue[13].vKey","",""
"enabler","3","0x7a5fdc","0x1","int8_t","enabler.input_queue[13].shift","",""
"enabler","3","0x7a5fdd","0x1","int8_t","enabler.input_queue[13].capslock","",""
"enabler","3","0x7a5fe0","0x4","int32_t","enabler.input_queue[14].vKey","",""
"enabler","3","0x7a5fe4","0x1","int8_t","enabler.input_queue[14].shift","",""
"enabler","3","0x7a5fe5","0x1","int8_t","enabler.input_queue[14].capslock","",""
"enabler","3","0x7a5fe8","0x4","int32_t","enabler.input_queue[15].vKey","",""
"enabler","3","0x7a5fec","0x1","int8_t","enabler.input_queue[15].shift","",""
"enabler","3","0x7a5fed","0x1","int8_t","enabler.input_queue[15].capslock","",""
"enabler","3","0x7a5ff0","0x4","int32_t","enabler.input_queue[16].vKey","",""
"enabler","3","0x7a5ff4","0x1","int8_t","enabler.input_queue[16].shift","",""
"enabler","3","0x7a5ff5","0x1","int8_t","enabler.input_queue[16].capslock","",""
"enabler","3","0x7a5ff8","0x4","int32_t","enabler.input_queue[17].vKey","",""
"enabler","3","0x7a5ffc","0x1","int8_t","enabler.input_queue[17].shift","",""
"enabler","3","0x7a5ffd","0x1","int8_t","enabler.input_queue[17].capslock","",""
"enabler","3","0x7a6000","0x4","int32_t","enabler.input_queue[18].vKey","",""
"enabler","3","0x7a6004","0x1","int8_t","enabler.input_queue[18].shift","",""
"enabler","3","0x7a6005","0x1","int8_t","enabler.input_queue[18].capslock","",""
"enabler","3","0x7a6008","0x4","int32_t","enabler.input_queue[19].vKey","",""
